id_show,show_type,title,cast,release_year,duration_mins,seasons,listed_in,company
14513,Movie,The Beach Loafer,"Ahmed Helmy, Yasmin Abdulaziz, Mahmoud Abdel Moghny, Lotfy Labib, Soad Nasr, Rico, Ahmed Rateb, Youssef Eid",2004,112,0,"Comedies, International Movies",Netflix
14514,Movie,Wadjda,"Reem Abdullah, Waad Mohammed, Abdullrahman Al Gohani, Ahd, Sultan Al Assaf, Alanoud Sajini, Rafa Al Sanea, Dana Abdullilah",2012,93,0,"Dramas, Independent Movies, International Movies",Netflix
14515,Movie,Zaki Chan,"Ahmed Helmy, Yasmin Abdulaziz, Hassan Hosny, Hasan Kami",2005,109,0,"Comedies, International Movies, Romantic Movies",Netflix
14516,Movie,Light In The Dark,"Rita Dominic, Joke Silva, Ngozi Nwosu, Kiki Omeili, Kalu Ikeagwu, Emmanuel Essien, Saidi Balogun",2019,105,0,"Dramas, International Movies",Netflix
14517,TV Show,The Big Flower Fight,"Natasia Demetriou, Vic Reeves, Kristen Griffith-Vanderyacht",2020,0,1,"British Tv Shows, International Tv Shows, Reality Tv",Netflix
14518,TV Show,Patriot Act With Hasan Minhaj,Hasan Minhaj,2020,0,6,"Stand-Up Comedy & Talk Shows, Tv Comedies",Netflix
14519,Movie,The End,"Mohamed El Hemaly, Abdulla Al-Khudr, Ghadeer Zayid, Heba El Dorry, Abdulaziz Al-Mesallam, Meshal Al-Farhan, Meshal Al-Mujibel, Ibrahim Al-Sheikhly, Souad Al-Husseini, Soliman Elyassin",2019,97,0,"Action & Adventure, Comedies, International Movies",Netflix
14520,TV Show,Boys Over Flowers,"Ku Hye-Sun, Lee Min-Ho, Kim Hyun-Joong, Kim Bum, Kim Joon, Kim So-Eun, Lee Hye-Yeong, Park Ji-Bin, Lim Ye-Jin, Jeong Ho-Bin",2009,0,1,"International Tv Shows, Korean Tv Shows, Romantic Tv Shows",Netflix
14521,TV Show,Iris,"Lee Byung-Hun, Kim Tae-Hee, Jeong Jun-Ho, Kim Young-Chul, Kim Seung-Woo, Kim So-Yeon, Yun Ju-Sang, Lee Jeong-Kil",2009,0,1,"International Tv Shows, Korean Tv Shows, Tv Action & Adventure",Netflix
14522,TV Show,Avatar: The Last Airbender,"Zach Tyler, Mae Whitman, Jack De Sena, Dee Bradley Baker, Dante Basco, Jessie Flower, Mako Iwamatsu",2007,0,3,"Classic & Cult Tv, Kids' Tv, Tv Action & Adventure",Netflix
14523,Movie,Heaven Without People,"Farah Shaer, Jean Paul Hage, Samira Sarkis, Jenny Gebara, Laeticia Semaan, Nadim Abou Samra, Hussein Hijazi, Ghassan Chemali",2017,91,0,"Dramas, International Movies",Netflix
14524,Movie,"I Love You, Stupid","Quim Gutiérrez, Natalia Tena, Alfonso Bassave, Alba Ribas, Patricia Vico, Ernesto Alterio",2019,88,0,"Comedies, International Movies, Romantic Movies",Netflix
14525,TV Show,Inhuman Resources,"Eric Cantona, Suzanne Clément, Alex Lutz, Gustave Kervern, Alice De Lencquesaing, Louise Coldefy, Nicolas Martinez, Adama Niane",2020,0,1,"Crime Tv Shows, International Tv Shows, Tv Dramas",Netflix
14526,TV Show,Madam Secretary,"Téa Leoni, Tim Daly, Bebe Neuwirth, Zeljko Ivanek, Erich Bergen, Patina Miller, Geoffrey Arend, Kathrine Herzer, Evan Roe, Wallis Currie-Wood",2019,0,6,Tv Dramas,Netflix
14527,TV Show,Magic For Humans,Justin Willman,2020,0,3,"Reality Tv, Tv Comedies",Netflix
14528,TV Show,Parasyte: The Maxim,"Nobunaga Shimazaki, Aya Hirano, Kana Hanazawa, Kiyono Yasuno, Rena Maeda, Miyuki Sawashiro, Hiroyuki Yoshino, Atsuko Tanaka",2014,0,1,"Anime Series, International Tv Shows, Tv Horror",Netflix
14529,TV Show,She-Ra And The Princesses Of Power,"Aimee Carrero, Aj Michalka, Marcus Scribner, Karen Fukuhara, Reshma Shetty, Lorraine Toussaint, Keston John, Lauren Ash, Christine Woods, Morla Gorrondona, Antony Del Rio, Dana Davis, Grey Griffin, Genesis Rodriguez, Jordan Fisher, Vella Lovell, Merit Leighton, Sandra Oh, Krystal Joy Brown",2020,0,5,"Kids' Tv, Tv Action & Adventure, Tv Sci-Fi & Fantasy",Netflix
14530,TV Show,Sleepless Society: Two Pillows & A Lost Soul,"Numthip Jongrachatawiboon, Vorarit Fuangarom, Bhumibhat Thavornsiri, Thanongsak Suphakan, Kanjanaporn Plodpai, Tosatid Darnkhuntod, Boonsong Nakphoo, Arachaporn Pokinpakorn, Annita Sarucha, Chidsanupong Sakulnuntipat, Nisawan Silpapearsue, Porntip Tipsiri, Thana Srisuke",2020,0,1,"Crime Tv Shows, International Tv Shows, Tv Dramas",Netflix
14531,TV Show,Strangers From Hell,"Lee Dong-Wook, Im Si-Wan, Lee Jung-Eun, Lee Hyun-Wook, Park Jong-Hwan, Lee Joong-Ok, Ahn Eun-Jin",2019,0,1,"International Tv Shows, Korean Tv Shows, Tv Horror",Netflix
14532,TV Show,The Wiggles,"Anthony Field, Lachlan Gillespie, Simon Pryce, Emma Watkins, Paul Paddick",2015,0,2,Kids' Tv,Netflix
14533,TV Show,White Lines,"Laura Haddock, Nuno Lopes, Marta Milans, Laurence Fox, Daniel Mays, Angela Griffin, Juan Diego Botto, Pedro Casablanc, Belén López, Barry Ward, Tom Rhys Harries",2020,0,1,"British Tv Shows, Crime Tv Shows, International Tv Shows",Netflix
